"","team","pass_cmp","pass_att","pass_yds","pass_td","pass_int","pass_sacked","pass_sacked_yds","pass_long","pass_rating","rush_att","rush_yds","rush_td","rush_long","targets","rec","rec_yds","rec_td","rec_long","fumbles_lost","rush_scrambles","designed_rush_att","comb_pass_rush_play","comb_pass_play","comb_rush_play","Team_abbrev","Opponent_abbrev","two_point_conv","total_ret_td","offensive_fumble_recovery_td","pass_yds_bonus","rush_yds_bonus","rec_yds_bonus","pass_target_yds","pass_poor_throws","pass_blitzed","pass_hurried","rush_yds_before_contact","rush_yac","rush_broken_tackles","rec_air_yds","rec_yac","rec_drops","vis_team","home_team","vis_score","home_score","OT","Roof","Surface","Temperature","Humidity","Wind_Speed","Vegas_Line","Vegas_Favorite","Over_Under","game_date","is_blownout","score_diff"
"368","NWE",11,2,145,3,-2,-1,-6,45,213,9,32,1,-2,2,11,145,3,71,0,-2,11,10,-1,11,"NWE","JAX",0,0,0,0,0,0,-66,-9,6,-2,-12,44,1,-71,93,0,"JAX","NWE",-23,29,"False","outdoors","fieldturf ",8,21,-9,-15,"NWE",-2,"2022-01-02",FALSE,52
"369","NYG",-19,-33,-94,-1,0,2,20,-7,-80,13,77,0,-4,-30,-19,-94,-1,-31,2,-4,17,-18,-35,17,"NYG","CHI",0,0,0,0,1,0,-202,-6,-1,-5,64,13,-1,-199,-28,-1,"NYG","CHI",-7,-5,"False","outdoors","grass ",-28,28,4,4,"CHI",-4,"2022-01-02",TRUE,-2
"370","NOR",5,8,87,1,-2,-6,-39,-26,57,5,-10,0,5,5,5,87,1,6,0,2,3,7,4,3,"NOR","CAR",0,0,0,0,0,0,106,0,-6,-4,-3,-7,0,99,22,1,"CAR","NOR",-10,15,"False","dome","sportturf",0,0,0,-4,"NOR",0,"2022-01-02",FALSE,25
"371","ATL",7,10,19,1,1,-2,-7,-28,-7,-10,-34,0,-9,11,7,19,1,-39,1,0,-10,-2,8,-10,"ATL","NOR",0,0,0,0,0,1,140,2,4,1,-20,-14,2,151,-81,0,"NOR","ATL",15,-9,"False","retractable roof (closed)","fieldturf",46,-36,-11,11,"NOR",-4,"2022-01-09",TRUE,4
"372","NYG",11,20,79,1,0,-1,-10,10,35,-15,-67,0,8,19,11,79,1,33,-1,2,-17,4,21,-17,"NYG","WAS",0,0,0,0,-1,0,168,6,11,0,-68,1,0,155,39,0,"WAS","NYG",19,-22,"False","outdoors","fieldturf ",13,-10,-13,-1,"WAS",1,"2022-01-09",TRUE,11
"373","MIN",-10,-17,56,2,0,1,8,9,-12,11,77,0,28,-16,-10,56,2,37,0,-1,12,-5,-17,12,"MIN","CHI",0,0,0,0,0,2,69,-6,1,-5,52,25,0,65,-60,1,"CHI","MIN",7,-6,"False","dome","sportturf",61,-15,-9,9,"MIN",2,"2022-01-09",FALSE,41
"374","JAX",6,5,30,1,-3,-1,-14,-11,54,14,21,0,19,6,6,30,1,-32,0,1,13,18,5,13,"JAX","IND",0,0,0,0,0,0,-9,-1,6,1,-10,31,0,16,13,5,"IND","JAX",1,-24,"False","outdoors","grass ",30,-40,15,1,"IND",2,"2022-01-09",FALSE,55
"375","MIA",-3,-17,-96,1,-1,-3,-17,-28,2,27,121,1,31,-17,-3,-96,1,-59,-1,2,25,7,-18,25,"MIA","NWE",0,0,0,0,1,0,-275,-9,-1,-2,47,74,4,-281,-8,-2,"NWE","MIA",21,-1,"False","outdoors","grass ",32,-14,-5,-3,"NWE",0,"2022-01-09",FALSE,40
"376","DEN",-6,-3,-68,-1,0,0,-5,2,-45,1,108,3,60,-3,-6,-68,-1,-56,1,2,-1,-2,-1,-1,"DEN","KAN",0,0,0,0,1,0,54,0,0,3,28,80,-2,44,-36,0,"KAN","DEN",15,-10,"False","outdoors","grass ",-31,12,4,-4,"KAN",0,"2022-01-08",FALSE,17
"377","DET",0,-5,51,1,-3,1,8,69,248,4,4,-1,-27,-8,0,51,1,48,0,-1,5,0,-5,5,"DET","GNB",-2,0,0,0,0,1,-5,0,-2,3,40,-36,-2,-32,54,-2,"GNB","DET",1,-14,"False","dome","fieldturf ",35,-47,0,4,"GNB",3,"2022-01-09",FALSE,29
"378","HOU",2,1,138,2,-1,-1,-15,13,53,-6,-22,0,6,2,2,138,2,79,0,2,-8,-6,2,-8,"HOU","TEN",2,0,0,1,0,1,179,1,4,3,4,-26,1,197,36,0,"TEN","HOU",21,2,"False","retractable roof (closed)","astroturf",22,-13,-6,2,"TEN",-1,"2022-01-09",FALSE,13
"379","CLE",1,-14,-9,0,-1,-8,-41,-13,49,21,112,1,11,-12,1,-9,0,-1,1,1,20,-1,-21,20,"CLE","CIN",0,0,0,0,1,0,-154,-3,-5,-5,81,31,3,-151,41,-4,"CIN","CLE",2,-5,"False","outdoors","grass ",13,29,10,-3,"CLE",-5,"2022-01-09",FALSE,17
"380","PHI",3,9,70,-1,1,-1,-8,-3,-100,-16,-54,0,18,9,3,70,-1,24,1,-2,-14,-8,6,-14,"PHI","TAM",2,0,0,0,0,0,261,6,8,-2,-51,-3,1,258,64,-4,"PHI","TAM",-36,5,"False","outdoors","grass ",35,9,13,-4,"TAM",2,"2022-01-16",TRUE,9
