"","team","pass_cmp","pass_att","pass_yds","pass_td","pass_int","pass_sacked","pass_sacked_yds","pass_long","pass_rating","rush_att","rush_yds","rush_td","rush_long","targets","rec","rec_yds","rec_td","rec_long","fumbles_lost","rush_scrambles","designed_rush_att","comb_pass_rush_play","comb_pass_play","comb_rush_play","Team_abbrev","Opponent_abbrev","two_point_conv","total_ret_td","offensive_fumble_recovery_td","pass_yds_bonus","rush_yds_bonus","rec_yds_bonus","pass_target_yds","pass_poor_throws","pass_blitzed","pass_hurried","rush_yds_before_contact","rush_yac","rush_broken_tackles","rec_air_yds","rec_yac","rec_drops","vis_team","home_team","vis_score","home_score","OT","Roof","Surface","Temperature","Humidity","Wind_Speed","Vegas_Line","Vegas_Favorite","Over_Under","game_date","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","is_blownout","score_diff"
"25","CIN",35,51,418,2,0,5,23,55,106,14,34,0,20,49,35,418,2,187,3,0,14,70,56,14,"CIN","SEA",0,0,0,1,0,1,381,5,16,6,16,18,1,355,186,3,"CIN","SEA",20,21,"False","outdoors","fieldturf",64,82,7,-9,"SEA",44,"2019-09-08",FALSE,-1,FALSE,-1,FALSE,-1,FALSE,-1,FALSE,-1,FALSE,-1
"26","SEA",14,20,195,2,0,4,35,44,134,25,72,1,31,19,14,195,2,119,1,0,25,49,24,25,"SEA","CIN",0,0,0,0,0,0,197,3,6,2,50,22,2,180,96,2,"CIN","SEA",20,21,"False","outdoors","fieldturf",64,82,7,-9,"SEA",44,"2019-09-08",FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1
"27","SFO",18,27,166,1,1,1,8,39,80,32,98,0,42,27,18,166,1,126,1,0,32,60,28,32,"SFO","TAM",2,0,0,0,0,0,156,7,12,3,57,41,2,156,107,0,"SFO","TAM",31,17,"False","outdoors","grass",93,52,9,-1,"TAM",51,"2019-09-08",FALSE,14,FALSE,14,FALSE,14,FALSE,14,FALSE,14,FALSE,14
"28","TAM",20,36,194,1,3,3,20,28,45,26,121,0,35,34,20,194,1,108,1,3,23,65,42,23,"TAM","SFO",0,0,0,0,0,0,315,3,4,7,101,20,1,296,90,2,"SFO","TAM",31,17,"False","outdoors","grass",93,52,9,-1,"TAM",51,"2019-09-08",TRUE,-14,TRUE,-14,TRUE,-14,TRUE,-14,TRUE,-14,TRUE,-14
"29","HOU",20,30,268,3,1,6,34,54,114,23,180,1,73,29,20,268,3,160,0,2,21,59,38,21,"HOU","NOR",0,0,0,0,0,1,325,5,14,5,132,48,2,310,90,3,"HOU","NOR",28,30,"False","dome","astroturf",72,45,0,-6,"NOR",52,"2019-09-09",FALSE,-2,FALSE,-2,FALSE,-2,FALSE,-2,FALSE,-2,FALSE,-2
"30","NOR",32,43,370,2,1,1,8,41,105,21,148,1,64,39,32,370,2,161,0,0,21,65,44,21,"NOR","HOU",0,0,0,1,0,2,295,5,8,5,118,30,5,290,134,2,"HOU","NOR",28,30,"False","dome","astroturf",72,45,0,-6,"NOR",52,"2019-09-09",FALSE,2,FALSE,2,FALSE,2,FALSE,2,FALSE,2,FALSE,2
"31","DEN",21,31,268,1,0,3,19,53,105,23,95,0,31,30,21,268,1,125,0,0,23,57,34,23,"DEN","LVR",0,0,0,0,0,1,243,4,3,1,31,64,4,245,104,1,"DEN","LVR",16,24,"False","outdoors","grass",68,66,15,-3,"DEN",42,"2019-09-09",FALSE,-8,FALSE,-8,FALSE,-8,FALSE,-8,FALSE,-8,FALSE,-8
"32","LVR",22,26,259,1,0,0,0,43,121,28,98,2,26,26,22,259,1,133,0,1,27,54,27,27,"LVR","DEN",0,0,0,0,0,1,214,1,5,1,58,40,2,214,108,0,"DEN","LVR",16,24,"False","outdoors","grass",68,66,15,-3,"DEN",42,"2019-09-09",FALSE,8,FALSE,8,FALSE,8,FALSE,8,FALSE,8,FALSE,8
"33","CAR",25,51,333,0,0,3,20,44,70,19,39,0,12,49,25,333,0,134,1,0,19,73,54,19,"CAR","TAM",0,0,0,1,0,1,555,17,34,6,9,30,4,550,90,2,"TAM","CAR",20,14,"False","outdoors","grass",85,55,3,-6,"CAR",48,"2019-09-12",FALSE,-6,FALSE,-6,FALSE,-6,FALSE,-6,FALSE,-6,FALSE,-6
"34","TAM",16,25,208,1,0,3,19,41,103,31,100,1,37,25,16,208,1,86,0,1,30,59,29,30,"TAM","CAR",0,0,0,0,0,1,305,8,9,4,34,66,5,304,72,0,"TAM","CAR",20,14,"False","outdoors","grass",85,55,3,-6,"CAR",48,"2019-09-12",FALSE,6,FALSE,6,FALSE,6,FALSE,6,FALSE,6,FALSE,6
